AUC,FolderNbr
15.721728166666665,1.0
14.46247933333333,2.0
12.967802500000001,3.0
11.374438166666657,4.0
10.582616833333333,5.0
10.487913166666667,7.0
9.91429583333333,6.0
9.353790333333334,10.0
9.304230833333328,9.0
9.199215722222219,8.0
8.139489666666664,11.0
6.9558611388888885,13.0
6.72588333333333,12.0
6.584897666666666,19.0
6.181249361111106,20.0
6.107798222222218,14.0
6.052885583333339,24.0
5.992258333333332,26.0
5.459333972222226,23.0
5.456530555555553,18.0
5.150548305555556,15.0
4.892844027777774,16.0
4.797050277777774,21.0
4.6610745833333365,17.0
4.56848083333333,29.0
4.51820116666667,28.0
4.4441594444444465,22.0
3.9532159166666627,27.0
3.6005109999999996,41.0
3.5860500000000015,25.0
3.4736293611111098,50.0
3.345938500000003,44.0
2.8085134444444435,39.0
2.625148333333336,42.0
2.5853574999999975,40.0
2.481064000000001,43.0
2.475642138888891,47.0
2.449854500000001,34.0
2.3772031666666695,32.0
2.3365568333333337,38.0
2.2876204444444435,36.0
2.146611666666667,33.0
2.1185028333333347,45.0
2.1021771111111107,37.0
1.9777626388888905,46.0
1.9546860000000006,31.0
1.9526579166666669,35.0
1.9064991666666649,49.0
1.247109333333333,30.0
0.2976213333333333,48.0
