Dataset,Method,Kendall,Spearman
4.0,FT,0.9555555555555554,0.9878787878787878
4.0,ST,0.8222222222222221,0.9151515151515152
4.0,TOT,0.022222222222222223,0.10303030303030303
4.0,CT,0.8666666666666666,0.9515151515151514
4.0,MCT,0.9999999999999999,0.9999999999999999
3.0,FT,0.8222222222222221,0.9030303030303028
3.0,ST,0.6888888888888888,0.7818181818181817
3.0,TOT,0.15555555555555553,0.23636363636363633
3.0,CT,0.8222222222222221,0.9393939393939393
3.0,MCT,0.9999999999999999,0.9999999999999999
2.0,FT,0.37777777777777777,0.4666666666666666
2.0,ST,0.1111111111111111,0.16363636363636364
2.0,TOT,0.19999999999999998,0.19999999999999998
2.0,CT,0.24444444444444444,0.309090909090909
2.0,MCT,0.9999999999999999,0.9999999999999999
1.0,FT,0.7777777777777777,0.8909090909090909
1.0,ST,0.4666666666666666,0.5272727272727272
1.0,TOT,0.8222222222222221,0.9151515151515152
1.0,CT,0.3333333333333333,0.406060606060606
1.0,MCT,0.9999999999999999,0.9999999999999999
